dev_category,developer_friendly_name,variable_name,api_data_type,label,value,label_2,scorecard_y_n,source,notes
,,,,,10,"Small 4-year, primarily residential (confers bachelor’s degrees, FTE enrollment 1,000 to 2,999, 25 to 49 percent of degree-seeking undergraduates live on campus and at least 50 percent attend full time)",,,
,,,,,11,"Small 4-year, highly residential (confers bachelor’s degrees, FTE enrollment 1,000 to 2,999, at least 50 percent of degree-seeking undergraduates live on campus and at least 80 percent attend full time)",,,
,,,,,12,"Medium 4-year, primarily nonresidential (confers bachelor’s degrees, FTE enrollment 3,000 to 9,999, less than 25 percent of degree-seeking undergraduates live on campus and/or less than 50 percent attend full time)",,,
,,,,,13,"Medium 4-year, primarily residential (confers bachelor’s degrees, FTE enrollment 3,000 to 9,999, 25 to 49 percent of degree-seeking undergraduates live on campus and at least 50 percent attend full time)",,,
,,,,,14,"Medium 4-year, highly residential (confers bachelor’s degrees, FTE enrollment 3,000 to 9,999, at least 50 percent of degree-seeking undergraduates live on campus and at least 80 percent attend full time)",,,
,,,,,15,"Large 4-year, primarily nonresidential (confers bachelor’s degrees, FTE enrollment over 9,999, less than 25 percent of degree-seeking undergraduates live on campus and/or less than 50 percent attend full time)",,,
,,,,,16,"Large 4-year, primarily residential (confers bachelor’s degrees, FTE enrollment over 9,999, 25 to 49 percent of degree-seeking undergraduates live on campus and at least 50 percent attend full time)",,,
,,,,,17,"Large 4-year, highly residential (confers bachelor’s degrees, FTE enrollment over 9,999, at least 50 percent of degree-seeking undergraduates live on campus and at least 80 percent attend full time)",,,
,,,,,18,"Not applicable, special-focus institution",,,
school,minority_serving.historically_black,HBCU,integer,,0,No,true,IPEDS,
,,,,,1,Yes,,,
school,minority_serving.predominantly_black,PBI,integer,,0,No,true,IPEDS,
,,,,,1,Yes,,,
school,minority_serving.annh,ANNHI,integer,,0,No,true,IPEDS,
,,,,,1,Yes,,,
school,minority_serving.tribal,TRIBAL,integer,,0,No,true,IPEDS,
,,,,,1,Yes,,,
school,minority_serving.aanipi,AANAPII,integer,,0,No,true,IPEDS,
,,,,,1,Yes,,,
school,minority_serving.hispanic,HSI,integer,,0,No,true,IPEDS,
,,,,,1,Yes,,,
school,minority_serving.nant,NANTI,integer,,0,No,true,IPEDS,
,,,,,1,Yes,,,
school,men_only,MENONLY,integer,,0,No,true,IPEDS,
,,,,,1,Yes,,,
school,women_only,WOMENONLY,integer,,0,No,true,IPEDS,
,,,,,1,Yes,,,
school,religious_affiliation,RELAFFIL,integer,,-1,Not reported,true,IPEDS,
,,,,,-2,Not applicable,,,
,,,,,22,American Evangelical Lutheran Church,,,
,,,,,24,African Methodist Episcopal Zion Church,,,
,,,,,27,Assemblies of God Church,,,
,,,,,28,Brethren Church,,,
,,,,,30,Roman Catholic,,,
,,,,,33,Wisconsin Evangelical Lutheran Synod,,,
,,,,,34,Christ and Missionary Alliance Church,,,
,,,,,35,Christian Reformed Church,,,
,,,,,36,Evangelical Congregational Church,,,
,,,,,37,Evangelical Covenant Church of America,,,
,,,,,38,Evangelical Free Church of America,,,
,,,,,39,Evangelical Lutheran Church,,,
,,,,,40,International United Pentecostal Church,,,
,,,,,41,Free Will Baptist Church,,,
,,,,,42,Interdenominational,,,
,,,,,43,Mennonite Brethren Church,,,
,,,,,44,Moravian Church,,,
,,,,,45,North American Baptist,,,
,,,,,47,Pentecostal Holiness Church,,,
,,,,,48,Christian Churches and Churches of Christ,,,
,,,,,49,Reformed Church in America,,,
,,,,,50,"Episcopal Church, Reformed",,,
,,,,,51,African Methodist Episcopal,,,
,,,,,52,American Baptist,,,
,,,,,53,American Lutheran,,,
,,,,,54,Baptist,,,
,,,,,55,Christian Methodist Episcopal,,,
,,,,,57,Church of God,,,
,,,,,58,Church of Brethren,,,
,,,,,59,Church of the Nazarene,,,
,,,,,60,Cumberland Presbyterian,,,
,,,,,61,Christian Church (Disciples of Christ),,,
,,,,,64,Free Methodist,,,
,,,,,65,Friends,,,
,,,,,66,Presbyterian Church (USA),,,
,,,,,67,Lutheran Church in America,,,
,,,,,68,Lutheran Church - Missouri Synod,,,
,,,,,69,Mennonite Church,,,
,,,,,71,United Methodist,,,
,,,,,73,Protestant Episcopal,,,
,,,,,74,Churches of Christ,,,
,,,,,75,Southern Baptist,,,
,,,,,76,United Church of Christ,,,
,,,,,77,"Protestant, not specified",,,
,,,,,78,Multiple Protestant Denomination,,,
,,,,,79,Other Protestant,,,
,,,,,80,Jewish,,,
,,,,,81,Reformed Presbyterian Church,,,
,,,,,84,United Brethren Church,,,
,,,,,87,Missionary Church Inc,,,
,,,,,88,Undenominational,,,
,,,,,89,Wesleyan,,,
,,,,,91,Greek Orthodox,,,
,,,,,92,Russian Orthodox,,,
,,,,,93,Unitarian Universalist,,,
,,,,,94,Latter Day Saints (Mormon Church),,,
,,,,,95,Seventh Day Adventists,,,
,,,,,97,The Presbyterian Church in America,,,
,,,,,99,Other (none of the above),,,
,,,,,100,Original Free Will Baptist,,,
,,,,,101,Ecumenical Christian,,,
,,,,,102,Evangelical Christian,,,
,,,,,103,Presbyterian,,,
admissions,admission_rate.overall,ADM_RATE,float,,,,true,IPEDS,
admissions,admission_rate.by_ope_id,ADM_RATE_ALL,float,,,,,IPEDS,
admissions,sat_scores.25th_percentile.critical_reading,SATVR25,float,,,,true,IPEDS,
admissions,sat_scores.75th_percentile.critical_reading,SATVR75,float,,,,,IPEDS,
admissions,sat_scores.25th_percentile.math,SATMT25,float,,,,,IPEDS,
admissions,sat_scores.75th_percentile.math,SATMT75,float,,,,,IPEDS,
admissions,sat_scores.25th_percentile.writing,SATWR25,float,,,,,IPEDS,
admissions,sat_scores.75th_percentile.writing,SATWR75,float,,,,,IPEDS,
admissions,sat_scores.midpoint.critical_reading,SATVRMID,float,,,,,IPEDS,
admissions,sat_scores.midpoint.math,SATMTMID,float,,,,,IPEDS,
admissions,sat_scores.midpoint.writing,SATWRMID,float,,,,,IPEDS,
admissions,act_scores.25th_percentile.cumulative,ACTCM25,float,,,,,IPEDS,
admissions,act_scores.75th_percentile.cumulative,ACTCM75,float,,,,,IPEDS,
admissions,act_scores.25th_percentile.english,ACTEN25,float,,,,,IPEDS,
admissions,act_scores.75th_percentile.english,ACTEN75,float,,,,,IPEDS,
admissions,act_scores.25th_percentile.math,ACTMT25,float,,,,,IPEDS,
admissions,act_scores.75th_percentile.math,ACTMT75,float,,,,,IPEDS,
admissions,act_scores.25th_percentile.writing,ACTWR25,float,,,,,IPEDS,
admissions,act_scores.75th_percentile.writing,ACTWR75,float,,,,,IPEDS,
admissions,act_scores.midpoint.cumulative,ACTCMMID,float,,,,,IPEDS,
admissions,act_scores.midpoint.english,ACTENMID,float,,,,,IPEDS,
admissions,act_scores.midpoint.math,ACTMTMID,float,,,,,IPEDS,
admissions,act_scores.midpoint.writing,ACTWRMID,float,,,,,IPEDS,
admissions,sat_scores.average.overall,SAT_AVG,float,,,,,IPEDS,
admissions,sat_scores.average.by_ope_id,SAT_AVG_ALL,float,,,,,IPEDS,
academics,program_percentage.agriculture,PCIP01,float,"Agriculture, Agriculture Operations, and Related Sciences",,"Agriculture, Agriculture Operations, and Related Sciences",,IPEDS,
academics,program_percentage.resources,PCIP03,float,Natural Resources and Conservation,,Natural Resources and Conservation,,IPEDS,
academics,program_percentage.architecture,PCIP04,float,Architecture and Related Services,,Architecture and Related Services,,IPEDS,
academics,program_percentage.ethnic_cultural_gender,PCIP05,float,"Area, Ethnic, Cultural, Gender, and Group Studies",,"Area, Ethnic, Cultural, Gender, and Group Studies",,IPEDS,
academics,program_percentage.communication,PCIP09,float,"Communication, Journalism, and Related Programs",,"Communication, Journalism, and Related Programs",,IPEDS,
academics,program_percentage.communications_technology,PCIP10,float,Communications Technologies/Technicians and Support Services,,Communications Technologies/Technicians and Support Services,,IPEDS,
academics,program_percentage.computer,PCIP11,float,Computer and Information Sciences and Support Services,,Computer and Information Sciences and Support Services,,IPEDS,
academics,program_percentage.personal_culinary,PCIP12,float,Personal and Culinary Services,,Personal and Culinary Services,,IPEDS,
academics,program_percentage.education,PCIP13,float,Education,,Education,,IPEDS,
academics,program_percentage.engineering,PCIP14,float,Engineering,,Engineering,,IPEDS,
academics,program_percentage.engineering_technology,PCIP15,float,Engineering Technologies and Engineering-Related Fields,,Engineering Technologies and Engineering-Related Fields,,IPEDS,
academics,program_percentage.language,PCIP16,float,"Foreign Languages, Literatures, and Linguistics",,"Foreign Languages, Literatures, and Linguistics",,IPEDS,
academics,program_percentage.family_consumer_science,PCIP19,float,Family and Consumer Sciences/Human Sciences,,Family and Consumer Sciences/Human Sciences,,IPEDS,
academics,program_percentage.legal,PCIP22,float,Legal Professions and Studies,,Legal Professions and Studies,,IPEDS,
academics,program_percentage.english,PCIP23,float,English Language and Literature/Letters,,English Language and Literature/Letters,,IPEDS,
academics,program_percentage.humanities,PCIP24,float,"Liberal Arts and Sciences, General Studies and Humanities",,"Liberal Arts and Sciences, General Studies and Humanities",,IPEDS,
academics,program_percentage.library,PCIP25,float,Library Science,,Library Science,,IPEDS,
academics,program_percentage.biological,PCIP26,float,Biological and Biomedical Sciences,,Biological and Biomedical Sciences,,IPEDS,
academics,program_percentage.mathematics,PCIP27,float,Mathematics and Statistics,,Mathematics and Statistics,,IPEDS,
academics,program_percentage.military,PCIP29,float,Military Technologies and Applied Sciences,,Military Technologies and Applied Sciences,,IPEDS,
academics,program_percentage.multidiscipline,PCIP30,float,Multi/Interdisciplinary Studies,,Multi/Interdisciplinary Studies,,IPEDS,
academics,program_percentage.parks_recreation_fitness,PCIP31,float,"Parks, Recreation, Leisure, and Fitness Studies",,"Parks, Recreation, Leisure, and Fitness Studies",,IPEDS,
academics,program_percentage.philosophy_religious,PCIP38,float,Philosophy and Religious Studies,,Philosophy and Religious Studies,,IPEDS,
academics,program_percentage.theology_religious_vocation,PCIP39,float,Theology and Religious Vocations,,Theology and Religious Vocations,,IPEDS,
academics,program_percentage.physical_science,PCIP40,float,Physical Sciences,,Physical Sciences,,IPEDS,
academics,program_percentage.science_technology,PCIP41,float,Science Technologies/Technicians,,Science Technologies/Technicians,,IPEDS,
academics,program_percentage.psychology,PCIP42,float,Psychology,,Psychology,,IPEDS,
academics,program_percentage.security_law_enforcement,PCIP43,float,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",,IPEDS,
academics,program_percentage.public_administration_social_service,PCIP44,float,Public Administration and Social Service Professions,,Public Administration and Social Service Professions,,IPEDS,
academics,program_percentage.social_science,PCIP45,float,Social Sciences,,Social Sciences,,IPEDS,
academics,program_percentage.construction,PCIP46,float,Construction Trades,,Construction Trades,,IPEDS,
academics,program_percentage.mechanic_repair_technology,PCIP47,float,Mechanic and Repair Technologies/Technicians,,Mechanic and Repair Technologies/Technicians,,IPEDS,
academics,program_percentage.precision_production,PCIP48,float,Precision Production,,Precision Production,,IPEDS,
academics,program_percentage.transportation,PCIP49,float,Transportation and Materials Moving,,Transportation and Materials Moving,,IPEDS,
academics,program_percentage.visual_performing,PCIP50,float,Visual and Performing Arts,,Visual and Performing Arts,,IPEDS,
academics,program_percentage.health,PCIP51,float,Health Professions and Related Programs,,Health Professions and Related Programs,,IPEDS,
academics,program_percentage.business_marketing,PCIP52,float,"Business, Management, Marketing, and Related Support Services",,"Business, Management, Marketing, and Related Support Services",,IPEDS,
academics,program_percentage.history,PCIP54,float,History,,History,,IPEDS,
academics,program.certificate_lt_1_yr.agriculture,CIP01CERT1,integer,,0,Program not offered,true,IPEDS,
academics,program.certificate_lt_2_yr.agriculture,CIP01CERT2,integer,,1,Program offered,,IPEDS,
academics,program.assoc.agriculture,CIP01ASSOC,integer,,2,Program offered through an exclusively distance-education program,,IPEDS,
academics,program.certificate_lt_4_yr.agriculture,CIP01CERT4,integer,,,,,IPEDS,
academics,program.bachelors.agriculture,CIP01BACHL,integer,,,,,IPEDS,
academics,program.certificate_lt_1_yr.resources,CIP03CERT1,integer,,,,,IPEDS,
academics,program.certificate_lt_2_yr.resources,CIP03CERT2,integer,,,,,IPEDS,
academics,program.assoc.resources,CIP03ASSOC,integer,,,,,IPEDS,
academics,program.certificate_lt_4_yr.resources,CIP03CERT4,integer,,,,,IPEDS,
academics,program.bachelors.resources,CIP03BACHL,integer,,,,,IPEDS,
academics,program.certificate_lt_1_yr.architecture,CIP04CERT1,integer,,,,,IPEDS,
academics,program.certificate_lt_2_yr.architecture,CIP04CERT2,integer,,,,,IPEDS,
academics,program.assoc.architecture,CIP04ASSOC,integer,,,,,IPEDS,
academics,program.certificate_lt_4_yr.architecture,CIP04CERT4,integer,,,,,IPEDS,
academics,program.bachelors.architecture,CIP04BACHL,integer,,,,,IPEDS,
academics,program.certificate_lt_1_yr.ethnic_cultural_gender,CIP05CERT1,integer,,,,,IPEDS,
academics,program.certificate_lt_2_yr.ethnic_cultural_gender,CIP05CERT2,integer,,,,,IPEDS,
academics,program.assoc.ethnic_cultural_gender,CIP05ASSOC,integer,,,,,IPEDS,
academics,program.certificate_lt_4_yr.ethnic_cultural_gender,CIP05CERT4,integer,,,,,IPEDS,
academics,program.bachelors.ethnic_cultural_gender,CIP05BACHL,integer,,,,,IPEDS,
academics,program.certificate_lt_1_yr.communication,CIP09CERT1,integer,,,,,IPEDS,
academics,program.certificate_lt_2_yr.communication,CIP09CERT2,integer,,,,,IPEDS,
academics,program.assoc.communication,CIP09ASSOC,integer,,,,,IPEDS,
academics,program.certificate_lt_4_yr.communication,CIP09CERT4,integer,,,,,IPEDS,
academics,program.bachelors.communication,CIP09BACHL,integer,,,,,IPEDS,
academics,program.certificate_lt_1_yr.communications_technology,CIP10CERT1,integer,,,,,IPEDS,
academics,program.certificate_lt_2_yr.communications_technology,CIP10CERT2,integer,,,,,IPEDS,
academics,program.assoc.communications_technology,CIP10ASSOC,integer,,,,,IPEDS,
academics,program.certificate_lt_4_yr.communications_technology,CIP10CERT4,integer,,,,,IPEDS,
academics,program.bachelors.communications_technology,CIP10BACHL,integer,,,,,IPEDS,
academics,program.certificate_lt_1_yr.computer,CIP11CERT1,integer,,,,,IPEDS,
academics,program.certificate_lt_2_yr.computer,CIP11CERT2,integer,,,,,IPEDS,
academics,program.assoc.computer,CIP11ASSOC,integer,,,,,IPEDS,
academics,program.certificate_lt_4_yr.computer,CIP11CERT4,integer,,,,,IPEDS,
academics,program.bachelors.computer,CIP11BACHL,integer,,,,,IPEDS,
academics,program.certificate_lt_1_yr.personal_culinary,CIP12CERT1,integer,,,,,IPEDS,
academics,program.certificate_lt_2_yr.personal_culinary,CIP12CERT2,integer,,,,,IPEDS,
academics,program.assoc.personal_culinary,CIP12ASSOC,integer,,,,,IPEDS,
academics,program.certificate_lt_4_yr.personal_culinary,CIP12CERT4,integer,,,,,IPEDS,
academics,program.bachelors.personal_culinary,CIP12BACHL,integer,,,,,IPEDS,
academics,program.certificate_lt_1_yr.education,CIP13CERT1,integer,,,,,IPEDS,
academics,program.certificate_lt_2_yr.education,CIP13CERT2,integer,,,,,IPEDS,
academics,program.assoc.education,CIP13ASSOC,integer,,,,,IPEDS,
academics,program.certificate_lt_4_yr.education,CIP13CERT4,integer,,,,,IPEDS,
academics,program.bachelors.education,CIP13BACHL,integer,,,,,IPEDS,
academics,program.certificate_lt_1_yr.engineering,CIP14CERT1,integer,,,,,IPEDS,
academics,program.certificate_lt_2_yr.engineering,CIP14CERT2,integer,,,,,IPEDS,
academics,program.assoc.engineering,CIP14ASSOC,integer,,,,,IPEDS,
academics,program.certificate_lt_4_yr.engineering,CIP14CERT4,integer,,,,,IPEDS,
academics,program.bachelors.engineering,CIP14BACHL,integer,,,,,IPEDS,
academics,program.certificate_lt_1_yr.engineering_technology,CIP15CERT1,integer,,,,,IPEDS,
academics,program.certificate_lt_2_yr.engineering_technology,CIP15CERT2,integer,,,,,IPEDS,
